name,place_id,address,latitude,longitude,rating,user_ratings_total,price_level,types,business_status,phone_number,website,opening_hours
Harlow,ChIJxZWc6piQ2EcRkBa_jrrF674,Harlow,51.767787,0.087806,,,,"locality, political",,,,
St Mary the Virgin's Church,ChIJ91HJCnaP2EcRg6SZ5kCKTG0,"Stansted Mountfitchet, Stansted",51.895332,0.2092542,4.6,40,,"tourist_attraction, church, place_of_worship, point_of_interest, establishment",OPERATIONAL,,,
Premier Inn London Stansted Airport hotel,ChIJF0JFHUmO2EcRqIbejlIkeMk,"Thremhall Avenue, Stansted",51.8753055,0.2455392,4.1,4812,,"lodging, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,
Novotel London Stansted Airport,ChIJ8ZYXsZWP2EcRT6_N7Kqcfl0,"Round Coppice Road, Stansted",51.87658630000001,0.2116617,4.1,2830,,"lodging, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,
"Radisson Blu Hotel, London Stansted Airport",ChIJVxInUGCO2EcROMjl39M4Wlo,"London Stansted Airport, Waltham Close, Stansted",51.8921739,0.2641186,4,4970,,"lodging, point_of_interest, establishment",OPERATIONAL,,,
De Salis Hotel London Stansted,ChIJhwp1udSO2EcRwXn0I9X788w,"Hall Road, Gaunt's End, Elsenham, Bishop's Stortford",51.9070914,0.2525272,3.2,773,,"lodging, point_of_interest, establishment",OPERATIONAL,,,
Ramada London Stansted M11,ChIJUZ2Z88QEdkgRagDFSyd-i0M,"Old, Welcome Break Birchanger Green Service Area J8, M11, Dunmow Road",51.870946,0.1951441,3.7,1797,,"lodging, point_of_interest, establishment",OPERATIONAL,,,
Fanhams Hall,ChIJV35j2o8ndkgRNlhkSNRqVdM,"Fanhams Hall Road, Ware",51.822505,-0.0113222,4.5,1005,,"lodging, point_of_interest, establishment",OPERATIONAL,,,
Green Man Pub,ChIJAVSPpcyb2EcRzxiIZTfeSwc,"Mulberry Green, Harlow",51.7830939,0.1400527,4.2,1839,2,"bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,
Holiday Inn Express Harlow by IHG,ChIJAVlmx_-b2EcR2RA9U5mfoBk,"Essex, Crown Gate, Harlow",51.7692978,0.0966552,4.1,978,,"lodging, point_of_interest, establishment",OPERATIONAL,,,
