name,place_id,address,latitude,longitude,rating,user_ratings_total,price_level,types,business_status,phone_number,website,opening_hours
Cafe Masala By Miah Bishop’s Stortford,ChIJ_XmLYD-F2EcRbpcBzO3dZ8g,"10 London Rd, Bishop's Stortford CM23 5ND, UK",51.8693919,0.1663726,4.3,246.0,2.0,"restaurant, meal_takeaway, food, point_of_interest, establishment",OPERATIONAL,01279 505665,https://cafemasalatakeaway.com/,
Harvest Moon,ChIJO-4RYj6F2EcR9emDXfHXT_I,"Friedberg Ave, Bishop's Stortford CM23 4RF, UK",51.86197999999999,0.1422546,4.0,900.0,2.0,"bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 836303,https://www.greeneking.co.uk/pubs/hertfordshire/harvest-moon?utm_source=g_places&utm_medium=locations&utm_campaign=PK_pubpage,
Rosey Lea Tea Rooms and Cafe,ChIJi_XGsz2F2EcRGMZeFIdl9Ks,"12 Market Square, Bishop's Stortford CM23 3UU, UK",51.87079249999999,0.1585952,4.2,283.0,2.0,"cafe, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 505414,http://www.roseylea.com/,
Shekos Kebab House,ChIJCbzihD2F2EcR_pZujfMOXxA,"40 North St, Bishop's Stortford CM23 2LR, UK",51.87266,0.1584448,4.1,299.0,2.0,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 755408,https://www.shekoskebab.co.uk/,
Ashoka Indian Takeaway Bishop’s Stortford,ChIJWz3_SnCF2EcRyzNG8DXHmxs,"4 Stansted Rd, Bishop's Stortford CM23 2DX, UK",51.869903,0.166905,4.0,70.0,,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 655385,https://ashokahertsonline.co.uk/,
"fishnchickn Thorley, Bishops Stortford",ChIJu0zKlSmF2EcR7nYC57BAqjs,"8 Thorley Ln E, Bishop's Stortford CM23 4EG, UK",51.858628,0.1448063,4.1,335.0,2.0,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 466283,https://fishnchickn.co.uk/?y_source=1_MjYwMDU4NjYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,
Le Raj Tandoori,ChIJWXX4ODiF2EcR3kSwlwIw_xk,"Millers Close, Southmill Rd, Bishop's Stortford CM23 3DH, UK",51.8644444,0.1636111,2.9,14.0,,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 466859,https://lerajonline.com/yFGq,
Host Grill Restaurant Bishop’s Stortford,ChIJeY4Dsz2F2EcRA9N7LE2U_Bw,"4 Market Square, Bishop's Stortford CM23 3UU, UK",51.8711114,0.1587202,4.3,268.0,2.0,"restaurant, night_club, bar, food, point_of_interest, establishment",OPERATIONAL,01279 657000,http://www.hostrestaurant.co.uk/,
Shadhona Bishop’s Stortford,ChIJl9rBkVUMdkgR3Uh15aw4D7A,"69 South St, Bishop's Stortford CM23 3AL, UK",51.8674882,0.1608263,4.2,252.0,,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 508149,https://shadhona.com/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business,
Côte Bishop's Stortford,ChIJfz5Alz2F2EcRDuRANP7224U,"17 North St, Bishop's Stortford CM23 2LD, UK",51.87196409999999,0.1584209,4.4,759.0,2.0,"restaurant, bar, food, point_of_interest, establishment",OPERATIONAL,01279 657190,https://www.cote.co.uk/restaurant/bishops-stortford?utm_source=google&utm_medium=organic&utm_campaign=google+my+business,
Pizza Line,ChIJDQYCkD2F2EcRkcA_aAFaAtQ,"40 North St, Bishop's Stortford CM23 2LR, UK",51.8726761,0.1584768,4.5,2.0,,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 467676,,
Huckleberrys (Huckleberry Chicken) Bishops Stortford,ChIJA4l1iD2F2EcRhrCV1tn_k5U,"3 Northgate End, Bishop's Stortford CM23 2ET, UK",51.8731781,0.1584799,3.3,204.0,,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 503547,https://huckleberrybishopsstortford.co.uk/,
Pircio,ChIJI5fjTDyF2EcRSpBEz4FzwoI,"Drill Hall, Market Square, Bishop's Stortford CM23 3UU, UK",51.87048669999999,0.1587132,4.6,2062.0,2.0,"restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 898181,http://pirciorestaurant.com/,
Rustico,ChIJadgcNzyF2EcR38CPS0R_l6Q,"5 Church St, Bishop's Stortford CM23 2LY, UK",51.8701491,0.1593168,4.5,61.0,2.0,"store, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 506442,https://2map.top/rustico,
Petrucci's Artisan Stonebaked Pizza,ChIJ9b6OBycndkgR5eGOJy79e6E,"23 Potter St, Bishop's Stortford CM23 3UH, UK",51.8702507,0.1597888,4.7,168.0,,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 755899,https://www.petruccispizza.co.uk/,
Cibo,ChIJ1f0-qD6F2EcRmNVoDQOII7c,"34 South St, Bishop's Stortford CM23 3AZ, UK",51.8686503,0.160489,4.4,511.0,2.0,"cafe, bar, store, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 653068,http://www.cibosiciliankitchen.co.uk/,
Skew Restaurant & Cocktail Bar,ChIJE5NIwD6F2EcRCKV1_ePuixs,"4 Adderley Rd, Bishop's Stortford CM23 3AE, UK",51.8691852,0.1622287,4.5,900.0,2.0,"bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 653635,https://www.skewrestaurant.com/,
Britannia Fast Food & Noodles Bar,ChIJZfxeRDiF2EcR3VmC-jwIkZA,"Millers Three, 3 Southmill Rd, Bishop's Stortford CM23 3DH, UK",51.8644188,0.163737,4.2,13.0,,"meal_delivery, restaurant, food, point_of_interest, establishment",CLOSED_TEMPORARILY,01279 755615,,
Alberts,ChIJu0zKlSmF2EcR1105BnQGl-g,"Neighborhood Centre, 13 Thorley Ln E, Bishop's Stortford CM23 4EG, UK",51.8586127,0.1449715,4.7,250.0,2.0,"cafe, store, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 507799,https://m.facebook.com/albertsthorley/?locale2=en_GB,
Phil's Cuisine Ltd,ChIJ8d4muSKF2EcR6YJfyIqEeBU,"N/A, Bishop's Stortford CM23 5AL, UK",51.8720634,0.179357,4.5,15.0,,"restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 956963,http://philscuisine.com/,
China City Bishop’s Stortford,ChIJgfbvTzyF2EcRnGO4pRBUe3I,"25 Church St, Bishop's Stortford CM23 2LY, UK",51.87002440000001,0.1583996,4.5,213.0,1.0,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 652807,,
The Rivermill,ChIJWXX4ODiF2EcRfprcBUG1H9w,"Millars 1, Southmill Rd, Bishop's Stortford CM23 3DH, UK",51.8648581,0.1639738,4.3,293.0,1.0,"restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 503799,http://www.therivermill.net/,
Baan Thitiya - Thai Cuisine,ChIJZ_zJ5jeF2EcRWDaOCita5ZI,"102 London Rd, Bishop's Stortford CM23 3DS, UK",51.8616767,0.1662906,4.5,506.0,2.0,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 658575,https://baan-thitiya.com/,
Gourmet Oriental Bishop’s Stortford,ChIJJb9HVjmF2EcRp4ucp8IhNLY,"88 South St, Bishop's Stortford CM23 3BG, UK",51.867584,0.160654,3.9,232.0,2.0,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 505799,http://www.gourmetorientalstortford.co.uk/,
Jades Restaurant,ChIJu0zKlSmF2EcRX5KqsTJAh1s,"1 Thorley Ln E, Bishop's Stortford CM23 4EG, UK",51.8584823,0.1440503,3.8,74.0,,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 506794,,
The Pizza Guys,ChIJm8cSNjiF2EcR2Pw7n9spxC0,"The Pizza Guys, Millers Three, Southmill Rd, Bishop's Stortford CM23 3DH, UK",51.8646153,0.1638413,4.5,391.0,1.0,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 656888,https://www.thepizzaguysonline.com/,
South Street Pantry,ChIJZ8g8AjyF2EcREGc5ymz87q8,"Town Centre, 70 South St, Bishop's Stortford CM23 3AZ, UK",51.8682711,0.1606026,4.5,478.0,2.0,"cafe, meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 659510,http://www.southstreetpantry.co.uk/,
Tandoori Cottage,ChIJg4A1JxaF2EcRxO_mhPZvn6M,"Southmill Rd, Bishop's Stortford CM23 3DH, UK",51.86422680000001,0.1639413,4.0,108.0,2.0,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 653513,https://tandooricottage-stortford.co.uk/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business,
H@ME & EAT,ChIJj6b38HGF2EcRfjK-hjv021U,"Unit 3 4b Birchanger Industrial Estate, Stansted Road, Bishop's Stortford CM23 2TH, UK",51.884716,0.174491,4.3,881.0,2.0,"restaurant, cafe, bar, store, food, point_of_interest, establishment",OPERATIONAL,01279 814644,http://www.homeandeat.com/,
The Kebabery,ChIJg4PRTDmF2EcRSSSeEqjCDuE,"5 Station Rd, Bishop's Stortford CM23 3BJ, UK",51.86800179999999,0.1612581,4.2,340.0,,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 654428,https://www.kebaberyonline.co.uk/,
Zara Indian Dining,ChIJlUaWbz2F2EcRA8D3YwzbWSU,"24 Hadham Rd, Bishop's Stortford CM23 2QS, UK",51.8725974,0.1567603,4.3,323.0,2.0,"bar, meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 507777,http://www.zara-dining.co.uk/,
Nags Head,ChIJZ5D66kCF2EcRlmBebiUxHx0,"216 Dunmow Rd, Bishop's Stortford CM23 5HP, UK",51.8683811,0.1777474,4.3,1358.0,2.0,"bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 654553,https://www.mcmullens.co.uk/local-pub/nags-head-bishops-stortford/,
Tamarind Tree,ChIJsa-QxDeF2EcRKbW3QeexBEo,"Southmill Rd, Bishop's Stortford CM23 3DH, UK",51.8625632,0.1653722,4.5,2.0,,"restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 653513,,
Coffee House,ChIJVarerzmF2EcRj0So3m7xrEA,"35 South St, Bishop's Stortford CM23 3AG, UK",51.868535,0.1607743,4.4,300.0,2.0,"cafe, restaurant, food, store, point_of_interest, establishment",OPERATIONAL,,https://www.facebook.com/coffeehousebs/,
Jade House Chinese Takeaway,ChIJ8zg1ammF2EcRqD19swVi1DQ,"7 Snowley Parade, Bishop's Stortford CM23 5EP, UK",51.87707169999999,0.173909,3.9,74.0,2.0,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,07356 096699,,
Sabrosa Del Fuego,ChIJm4WgfACF2EcRJquGwYY3KHg,"30 High St, Bishop's Stortford CM23 2LX, UK",51.8711194,0.1571439000000001,4.7,210.0,,"restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 801468,https://www.sabrosadelfuego.co.uk/,
Malaysian street food,ChIJtY4lZwCF2EcRg3GSHg_0HLY,"High St, Bishop's Stortford CM23 2LT, UK",51.8712823,0.1578438,,,,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,,
Luna Bistro,ChIJY5GClmSF2EcRAzIeEosxne0,"31 North St, Bishop's Stortford CM23 2LD, UK",51.8727038,0.158128,,,,"restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 222214,https://www.lunabistro.co.uk/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=16811371490800265492,
Le Péché Mignon,ChIJbWcIuuGF2EcR3CCH3NOrUQ0,"3A High St, Bishop's Stortford CM23 2LS, UK",51.8711762,0.1581193,4.9,81.0,,"restaurant, cafe, liquor_store, food, store, point_of_interest, establishment",OPERATIONAL,01279 654004,https://www.lepechemignon.co.uk/,
Franco Manca Bishop's Stortford,ChIJD_69p-SF2EcR-Hfkrl5fhJ8,"15 North St, Bishop's Stortford CM23 2LD, UK",51.87186670000001,0.1584941,4.7,334.0,1.0,"restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 295376,https://www.francomanca.co.uk/,
Paisá,ChIJy9oka-SF2EcRbk4z5Nt1v2U,"42H North St, Bishop's Stortford CM23 2LR, UK",51.8728273,0.1584081,4.9,229.0,2.0,"restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 832781,https://paisawinebar.com/,
Roni's Restaurant,ChIJxRlKBUSF2EcR3NHjqXa49_0,"16 North St, Bishop's Stortford CM23 2LQ, UK",51.8718359,0.1588215,4.7,363.0,,"restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 508856,http://www.ronisrestaurant.co.uk/,
No.14,ChIJ07p3SACF2EcR9ouXrBNturY,"14 North St, Bishop's Stortford CM23 2LQ, UK",51.8717177,0.1588369,4.3,59.0,,"restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 597548,https://no-14.com/,
Tandoori Cottage,ChIJD1ikiT2F2EcRIUG-4f2D0_c,"Half Acres, Bishop's Stortford CM23 2ET, UK",51.87316740000001,0.1586809,,,,"restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 653513,https://tandooricottage-stortford.co.uk/,
lockdown Pizza,ChIJDV9o-cCF2EcRCvXIcHqlAR4,"4 The corn exchange, Bishop's Stortford CM23 3UU, UK",51.8711527,0.1587417,3.9,13.0,,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 657000,http://www.lockdown-pizza.co.uk/,
